Firm Name,Email,Phone,Website,Size,Tier,Payroll Services,Priority Notes
KPMG Jamaica,firmmail@kpmg.com.jm,+1 (876) 922-6640,https://kpmg.com/jm,Large,1,N,Big 4 - use internal systems
PricewaterhouseCoopers Jamaica,jm_reception@pwc.com,+1 (876) 922-6230,https://www.pwc.com/jm,Large,1,N,Big 4
EY Jamaica,,+1 (876) 969-9000,https://jm.ey.com,Large,1,N,Big 4
Deloitte Jamaica,,+1 (876) 922-6825,https://www.deloitte.com/cbc/en/about/jamaica.html,Large,1,N,Big 4
BDO Jamaica,kingston@bdo.com.jm,+1 (876) 926-1616,https://www.bdo.com.jm,Large,1,Y,International network - worth reaching
PKF / Aulous F. Madden & Company,info@afmpkf.com,+1 (876) 922-1074,https://www.afmpkf.com,Medium,2,Y,PKF network - lists payroll services
Dawgen Global (UHY Dawgen),info@dawgen.global,+1 (876) 929-3670,https://www.dawgen.global,Medium,2,Y,HIGH PRIORITY - actively offers payroll outsourcing
Baker Tilly Jamaica,info@bakertilly.com.jm,+1 (876) 906-1658,https://www.bakertilly.com.jm,Medium,2,N,Baker Tilly international network
CrichtonMullings & Associates,info@crichtonmullings.com,+1 (876) 946-1274,https://crichtonmullings.com,Medium,2,Y,ICAJ member firm
Bogle and Company,info@bogleandcompany.com,+1 (876) 968-0506,https://www.bogleandcompany.com,Medium,2,Y,Lists payroll as a service
DeWar Wiggan & Partners,info@dewarwigganandpartner.com,+1 (876) 631-3347,http://www.dewarwigganandpartner.com,Medium,2,Y,HIGH PRIORITY - explicit payroll outsourcing
Charles O'Connor Consulting Network,info@cocnjamaica.com,+1 (876) 908-0486,https://cocnjamaica.com,Medium,2,N,PrimeGlobal network member
Dalma P. James & Associates,info@dalmapjamesandassocs.com,+1 (876) 968-4611,https://www.dalmapjamesandassocs.com,Medium,2,Y,Established since 1987
Boldeck Jamaica,info@boldeck.com,+1 (876) 754-0833,https://boldeck.com,Small-Medium,2,N,Digital-first modern firm
Mills & Daniels Chartered Accountants,info@millsdanielsjm.com,+1 (876) 817-2535,https://www.millsdanielsjm.com,Small-Medium,2,N,Active web presence
ABTAX Limited,info@abtaxlimited.com,+1 (876) 906-0707,https://www.abtaxlimited.com,Small-Medium,2,Y,HIGH PRIORITY - lists payroll
Barakat H.A. & Co,info@barakathaandco.com,+1 (876) 926-2722,,Small-Medium,2,Y,Lists payroll services
Hamilton Watson & Associates,,+1 (876) 906-5434,,Small-Medium,2,N,Established Kingston firm
GreeJen Chartered Accountants,info@greejen.com,,https://www.greejen.com,Small-Medium,2,N,FCA ACCA qualified
CalverGordon Associates,info@calgor.com,+1 (876) 922-6825,https://www.calgor.com,Small-Medium,2,N,Kingston + MoBay
Campbell Adams & Co,,+1 (876) 962-0326,,Small-Medium,2,N,
Strachan Thorpe & Associates,,+1 (876) 906-1659,,Small-Medium,2,N,
SMS Advisory Services,info@smsadvisoryservices.com,+1 (876) 679-2921,https://www.smsadvisoryservices.com,Small,3,N,
FIACG Chartered Accountants,info@fiacg.com,+1 (876) 407-4168,https://www.fiacg.com,Small,3,N,
KCP Accounting Services,info@kcpaccounting.com,+1 (876) 830-6388,https://kcpaccounting.com,Small,3,Y,HIGH PRIORITY - lists payroll
Ian Walters & Co,,+1 (876) 906-4289,,Small,3,N,
HICA Chartered Accountants,,,Small,3,N,
W.W. Bailey & Company,,+1 (876) 772-0029,,Small,3,N,
Senior Accounting Services,,+1 (876) 665-1210,,Small,3,N,
Daley Accounting,,+1 (876) 813-4270,,Small,3,N,
Advanced Accounting Limited,,+1 (876) 929-2779,,Small,3,N,
Taylor & Associates Business Solutions,,+1 (876) 321-6095,,Small,3,N,
Quality Financial & Management Services,,,Small,3,N,
King & Associates Chartered Accountants,,,Small,3,N,
Mills & Co Accountants,,,http://www.millsandco.net,Small,3,N,
CN Business Services Ltd,,+1 (876) 715-3513,,Small,3,N,
Ultra Professional Limited,,+1 (876) 253-2939,,Small,3,N,
Junction Accounting,,+1 (876) 969-5306,,Small,3,N,
Livingston CAJ,,+1 (876) 669-2337,,Small,3,N,
SWAT Ltd,,,Small,3,N,
ICAJ (Association),info@icaj.org,+1 (876) 922-3223,https://icaj.org,Association,1,N,~1500 members - ASSOCIATION PITCH
ACCA Jamaica,jamaicabranch@accaglobal.com,,,Association,1,N,~800 members - ASSOCIATION PITCH
JAPA,info@japa.org.jm,,,Association,1,N,~400 members - ASSOCIATION PITCH
JBDC,info@jbdc.net,,https://www.jbdc.net,Gov Agency,1,N,SME support org - send partner pitch
Jamaica Chamber of Commerce,info@jamaicachamber.org.jm,,https://www.jamaicachamber.org.jm,Association,1,N,Business owners audience
